CASENUMBER,TYPEOFBUSINESS,TYPEOFCOMPLAINT,OPENDATE,CLOSEDATE,OUTCOME,LONGITUDE,LATITUDE
2021 036523-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/13/2021,3/14/2021,No Violation(s) Found/Inspection Performed,-97.82287777,30.17461784
2021 036520-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/13/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 036498-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/13/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.7092362,30.30738318
2021 036497-CC,Other (Describe in Comments),Face Covering,3/13/2021,3/13/2021,Closed/Duplicate Case,-88.448709,24.923983
2021 036493-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/13/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.83994963,30.21641699
2021 036476-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/13/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 036436-CC,Other (Describe in Comments),Face Covering,3/13/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 036427-CC,Restaurant,Face Covering,3/13/2021,3/13/2021,COVID-19/Education Provided,-97.750344,30.27050902
2021 036425-CC,Other (Describe in Comments),Social Distancing,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.71411525,30.29496841
2021 036423-CC,Other (Describe in Comments),Social Distancing,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.71411525,30.29496841
2021 036417-CC,Residential,Face-Covering,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.6892428,30.26492974
2021 036414-CC,Other (Describe in Comments),Social Distancing,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.73032522,30.24518414
2021 036410-CC,Other (Describe in Comments),Face Covering,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.67045296,30.40132998
2021 036409-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.74212747,30.26767322
2021 036406-CC,Restaurant,Over Occupancy,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.74633642,30.26513491
2021 036405-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.70932077,30.28427379
2021 036401-CC,Other (Describe in Comments),Over Occupancy,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.78100641,30.203968
2021 036395-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.78869189,30.1692421
2021 036391-CC,Residential,Eviction,3/12/2021,3/15/2021,COVID-19/Education Provided,-97.79606136,30.45652127
2021 036381-CC,Construction Site,Face Covering Non-Compliance - Business,3/12/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 036249-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/12/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 036108-CC,Other (Describe in Comments),Face Covering,3/12/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 036072-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/12/2021,3/13/2021,No Violation(s) Found/Inspection Performed,-97.75391634,30.2697822
2021 036032-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/12/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-97.73995343,30.40009209
2021 035984-CC,Other (Describe in Comments),Face Covering,3/12/2021,3/12/2021,Referred to Appropriate Agency,-97.94591779,30.30759174
2021 035793-CC,Other (Describe in Comments),Face Covering,3/12/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 035717-CC,Other (Describe in Comments),Face Covering,3/12/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 035679-CC,Other (Describe in Comments),Face Covering,3/11/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-97.75348427,30.26948203
2021 035675-CC,Other (Describe in Comments),Face Covering,3/11/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-97.79137446,30.2352058
2021 035671-CC,Other (Describe in Comments),Social Distancing,3/11/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-97.7305821,30.29026248
2021 035631-CC,Other (Describe in Comments),Face Covering,3/11/2021,3/11/2021,Cancelled,-97.7196515,30.30046327
2021 035452-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 035418-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 035413-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 035410-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 035388-CC,Apartment Common Area,Over Occupancy,3/11/2021,3/12/2021,Closed/Duplicate Case,-97.77499154,30.2077754
2021 035347-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 035276-CC,Restaurant,Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-97.73901973,30.25891742
2021 035224-CC,Residential,Eviction,3/11/2021,3/15/2021,COVID-19/Education Provided,-97.72122433,30.23146495
2021 035086-CC,Other (Describe in Comments),Face Covering,3/11/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 035073-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,Closed/Duplicate Case,-97.74711791,30.2540864
2021 035065-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,COVID-19/Education Provided,-97.74711791,30.2540864
2021 035064-CC,Other (Describe in Comments),Face Covering,3/11/2021,3/11/2021,Closed/Duplicate Case,-88.448709,24.923983
2021 035030-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/11/2021,3/11/2021,Closed/Duplicate Case,-88.448709,24.923983
2021 034995-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 034993-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 034986-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-97.74108411,30.33425256
2021 034984-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-97.7196515,30.30046327
2021 034982-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/11/2021,Closed/Duplicate Case,-97.7196515,30.30046327
2021 034977-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.7196515,30.30046327
2021 034973-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-97.72318818,30.2917876
2021 034968-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.74212747,30.26767322
2021 034967-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.74212747,30.26767322
2021 034934-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.75391634,30.2697822
2021 034927-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.83951296,30.22362217
2021 034920-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.7196515,30.30046327
2021 034898-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 034895-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-97.73995343,30.40009209
2021 034863-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/15/2021,No Violation(s) Found/Inspection Performed,-97.75196916,30.35314433
2021 034828-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-97.72738583,30.35467958
2021 034827-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.73390779,30.26427553
2021 034819-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/11/2021,No Violation(s) Found/Inspection Performed,-97.73989739,30.30735003
2021 034797-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.70937547,30.32257882
2021 034717-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.83951296,30.22362217
2021 034649-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Cancelled,-97.82287777,30.17461784
2021 034535-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 034531-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 034522-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.74212747,30.26767322
2021 034512-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.82287777,30.17461784
2021 034511-CC,Apartment Common Area,Over Occupancy,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.77499154,30.2077754
2021 034498-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.75391634,30.2697822
2021 034494-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.82287777,30.17461784
2021 034473-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.83951296,30.22362217
2021 034440-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 034435-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 034424-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.82287777,30.17461784
2021 034411-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.70937547,30.32257882
2021 034398-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.71485906,30.31001707
2021 034360-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.70937547,30.32257882
2021 034350-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 034341-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,COVID-19/Education Provided,-97.7196515,30.30046327
2021 034269-CC,Other (Describe in Comments),Over Occupancy,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.74183843,30.30423328
2021 034262-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.7196515,30.30046327
2021 034257-CC,Residential,Eviction,3/10/2021,4/1/2021,COVID-19/Education Provided,-97.82806147,30.21714425
2021 034240-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Closed/Duplicate Case,-97.75391634,30.2697822
2021 034218-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.75391634,30.2697822
2021 034202-CC,Other (Describe in Comments),Face Covering,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.75270138,30.35461666
2021 034184-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.74212747,30.26767322
2021 034180-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/10/2021,3/10/2021,Referred to Appropriate Agency,-88.448709,24.923983
2021 034116-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/9/2021,3/10/2021,Closed/Duplicate Case,-97.74212747,30.26767322
2021 034104-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/9/2021,3/10/2021,No Violation(s) Found/Inspection Performed,-97.73485888,30.31535484
2021 034074-CC,Residential,Eviction,3/9/2021,3/12/2021,COVID-19/Education Provided,-88.448709,24.923983
2021 034057-CC,Residential,Eviction,3/9/2021,3/11/2021,COVID-19/Education Provided,-97.69294873,30.3775817
2021 033657-CC,Residential,Eviction,3/9/2021,4/28/2021,COVID-19/Verbal Warning Issued,-97.66943527,30.30642784
2021 033330-CC,Other (Describe in Comments),Over Occupancy,3/8/2021,3/8/2021,No Violation(s) Found/Inspection Performed,-97.77276879,30.23175217
2021 033327-CC,Residential,Eviction,3/8/2021,3/12/2021,COVID-19/Education Provided,-97.74943916,30.2017397
2021 032758-CC,Other (Describe in Comments),Social Distancing,3/8/2021,3/8/2021,Closed due to Administrative Reasons,-97.76845324,30.21631083
2021 032609-CC,Apartment Common Area,Over Occupancy,3/7/2021,3/8/2021,Closed/Duplicate Case,-97.77499154,30.2077754
2021 032591-CC,Apartment Common Area,Over Occupancy,3/7/2021,3/8/2021,No Violation(s) Found/Inspection Performed,-97.77253773,30.2006755
2021 032542-CC,Other (Describe in Comments),Over Occupancy,3/7/2021,,,-97.79321366,30.17831675
2021 032529-CC,Apartment Common Area,Over Occupancy,3/7/2021,3/8/2021,No Violation(s) Found/Inspection Performed,-97.74649935,30.29099608
2021 032516-CC,Other (Describe in Comments),Over Occupancy,3/6/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 032515-CC,Other (Describe in Comments),Social Distancing,3/6/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.684159,30.2809804
2021 032508-CC,Other (Describe in Comments),Social Distancing,3/6/2021,3/6/2021,Cancelled,-97.74695356,30.28908397
2021 032504-CC,Other (Describe in Comments),Over Occupancy,3/6/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.77263011,30.28419794
2021 032503-CC,Other (Describe in Comments),Over Occupancy,3/6/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.77239768,30.2845976
2021 032500-CC,Other (Describe in Comments),Social Distancing,3/6/2021,3/8/2021,Referred to Appropriate Agency,-97.78100641,30.203968
2021 032494-CC,Apartment Common Area,Over Occupancy,3/6/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.74695356,30.28908397
2021 032488-CC,Apartment Common Area,Over Occupancy,3/6/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.7478804,30.28897444
2021 032455-CC,Residential,Eviction,3/6/2021,3/8/2021,COVID-19/Education Provided,-97.77253773,30.2006755
2021 032397-CC,Restaurant,Over Occupancy,3/6/2021,3/8/2021,No Violation(s) Found/Inspection Performed,-97.7040804,30.40036419
2021 032357-CC,Other (Describe in Comments),Over Occupancy,3/6/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.73048311,30.29017246
2021 032352-CC,Apartment Common Area,Over Occupancy,3/5/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.71219164,30.25656438
2021 032342-CC,Restaurant,Over Occupancy,3/5/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-97.7496196,30.26765539
2021 032289-CC,Restaurant,Face Covering Non-Compliance - Business,3/5/2021,3/6/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 032232-CC,Residential,Eviction,3/5/2021,3/15/2021,COVID-19/Education Provided,-97.7145041,30.3560949
2021 032153-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/5/2021,3/5/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 032059-CC,Other (Describe in Comments),Face Covering,3/5/2021,3/5/2021,No Violation(s) Found/Inspection Performed,-97.73683818,30.19775261
2021 031735-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/5/2021,3/5/2021,No Violation(s) Found/Inspection Performed,-97.77712203,30.16033304
2021 031657-CC,Other (Describe in Comments),Over Occupancy,3/4/2021,3/5/2021,No Violation(s) Found/Inspection Performed,-97.74371448,30.28433474
2021 031641-CC,Restaurant,Face Covering Non-Compliance - Business,3/4/2021,3/12/2021,No Violation(s) Found/Inspection Performed,-97.6945384,30.36582903
2021 031402-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/4/2021,3/4/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 031008-CC,Construction Site,Social Distancing,3/4/2021,3/4/2021,No Violation(s) Found/Inspection Performed,-97.77826253,30.21660593
2021 030956-CC,Other (Describe in Comments),Face Covering,3/3/2021,3/4/2021,No Violation(s) Found/Inspection Performed,-97.74603832,30.41804851
2021 030656-CC,Restaurant,Social Distancing,3/3/2021,3/3/2021,No Violation(s) Found/Inspection Performed,-97.77058218,30.43423443
2021 030584-CC,Other (Describe in Comments),Social Distancing,3/3/2021,3/4/2021,No Violation(s) Found/Inspection Performed,-97.67524418,30.39406495
2021 030261-CC,Apartment Common Area,Over Occupancy,3/2/2021,3/3/2021,Closed/Duplicate Case,-97.77499154,30.2077754
2021 030139-CC,Residential,Eviction,3/2/2021,3/16/2021,COVID-19/Education Provided,-97.70789602,30.35421605
2021 030130-CC,Residential,Eviction,3/2/2021,3/9/2021,COVID-19/Education Provided,-97.76458699,30.18854872
2021 029945-CC,Residential,Eviction,3/2/2021,3/16/2021,COVID-19/Education Provided,-97.70342062,30.31852907
2021 029903-CC,Apartment Common Area,Over Occupancy,3/2/2021,3/2/2021,Closed/Duplicate Case,-97.77499154,30.2077754
2021 029746-CC,Residential,Eviction,3/2/2021,3/16/2021,COVID-19/Education Provided,-97.72140281,30.36675022
2021 029720-CC,Restaurant,Face Covering Non-Compliance - Business,3/2/2021,3/2/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 029470-CC,Other (Describe in Comments),Face Covering,3/1/2021,3/2/2021,No Violation(s) Found/Inspection Performed,-97.7665772,30.47883786
2021 029342-CC,Residential,Eviction,3/1/2021,3/2/2021,COVID-19/Education Provided,-97.75873411,30.28199154
2021 029101-CC,Other (Describe in Comments),Social Distancing,3/1/2021,3/1/2021,Closed/Duplicate Case,-97.73822222,30.18683439
2021 028973-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,3/1/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028970-CC,Other (Describe in Comments),Social Distancing,3/1/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-97.73822222,30.18683439
2021 028817-CC,Residential,Eviction,3/1/2021,3/16/2021,COVID-19/Education Provided,-97.70065518,30.34992327
2021 028685-CC,Other (Describe in Comments),Social Distancing,2/28/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-97.70758958,30.33739678
2021 028673-CC,Restaurant,Face Covering Non-Compliance - Business,2/28/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028669-CC,Other (Describe in Comments),Social Distancing,2/28/2021,2/28/2021,Referred to Appropriate Agency,-97.78100641,30.203968
2021 028659-CC,Other (Describe in Comments),Face Covering,2/28/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.69300551,30.36652909
2021 028658-CC,Apartment Common Area,Social Distancing,2/28/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.69218865,30.36627299
2021 028656-CC,Apartment Common Area,Over Occupancy,2/28/2021,2/28/2021,Closed/Duplicate Case,-97.71738761,30.3730603
2021 028647-CC,Apartment Common Area,Over Occupancy,2/28/2021,2/28/2021,Closed/Duplicate Case,-97.71738761,30.3730603
2021 028646-CC,Apartment Common Area,Social Distancing,2/28/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.71738761,30.3730603
2021 028637-CC,Other (Describe in Comments),Face Covering,2/28/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028635-CC,Restaurant,Face Covering Non-Compliance - Business,2/28/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028630-CC,Restaurant,Face Covering,2/28/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-97.77925978,30.24513234
2021 028629-CC,Apartment Common Area,Over Occupancy,2/28/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.72496952,30.29198561
2021 028622-CC,Restaurant,Face Covering,2/28/2021,2/28/2021,Closed/Duplicate Case,-97.80562304,30.44650264
2021 028620-CC,Other (Describe in Comments),Face Covering,2/28/2021,2/28/2021,Closed due to Administrative Reasons,-88.448709,24.923983
2021 028618-CC,Restaurant,Face Covering,2/28/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-97.80562304,30.44650264
2021 028615-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/28/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-97.72738583,30.35467958
2021 028561-CC,Other (Describe in Comments),Over Occupancy,2/28/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.73904571,30.25839263
2021 028549-CC,Other (Describe in Comments),Over Occupancy,2/27/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.74678233,30.29588761
2021 028537-CC,Other (Describe in Comments),Over Occupancy,2/27/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.88598912,30.16629175
2021 028534-CC,Other (Describe in Comments),Social Distancing,2/27/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028532-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/27/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.76547936,30.2413066
2021 028526-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/27/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-97.69018692,30.32823802
2021 028518-CC,Other (Describe in Comments),Face Covering,2/27/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028477-CC,Apartment Common Area,Over Occupancy,2/27/2021,2/27/2021,Referred to Appropriate Agency,-97.74585433,30.29435619
2021 028450-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028442-CC,Other (Describe in Comments),Social Distancing,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.73822222,30.18683439
2021 028438-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.7196515,30.30046327
2021 028435-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.73405996,30.30872463
2021 028429-CC,Restaurant,Over Occupancy,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.67336072,30.37685761
2021 028421-CC,Restaurant,Over Occupancy,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.74302081,30.30599503
2021 028419-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.71541494,30.31719036
2021 028411-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/27/2021,2/27/2021,Closed/Duplicate Case,-88.448709,24.923983
2021 028341-CC,Other (Describe in Comments),Face Covering,2/27/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.70937547,30.32257882
2021 028339-CC,Other (Describe in Comments),Over Occupancy,2/27/2021,3/8/2021,No Violation(s) Found/Inspection Performed,-97.72763048,30.27105058
2021 028334-CC,Restaurant,Face Covering,2/26/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.76180044,30.25494591
2021 028333-CC,Restaurant,Over Occupancy,2/26/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.89512508,30.24968775
2021 028332-CC,Other (Describe in Comments),Over Occupancy,2/26/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.66447792,30.35833643
2021 028331-CC,Apartment Common Area,Social Distancing,2/26/2021,2/27/2021,Closed/Duplicate Case,-97.74366947,30.29425155
2021 028330-CC,Apartment Common Area,Social Distancing,2/26/2021,2/27/2021,Closed/Duplicate Case,-97.74381743,30.29411153
2021 028328-CC,Apartment Common Area,Social Distancing,2/26/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.74366947,30.29425155
2021 028269-CC,Restaurant,Face Covering,2/26/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028245-CC,Restaurant,Face Covering,2/26/2021,2/28/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028239-CC,Restaurant,Social Distancing,2/26/2021,2/27/2021,No Violation(s) Found/Inspection Performed,-97.74371698,30.32549641
2021 028177-CC,Other (Describe in Comments),Face Covering,2/26/2021,2/26/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 028093-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/26/2021,3/1/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 027621-CC,Restaurant,Over Occupancy,2/26/2021,2/26/2021,No Violation(s) Found/Inspection Performed,-97.75003441,30.26609919
2021 027620-CC,Restaurant,Over Occupancy,2/26/2021,2/26/2021,Closed/Duplicate Case,-97.75003441,30.26609919
2021 027573-CC,Apartment Common Area,Over Occupancy,2/25/2021,2/26/2021,No Violation(s) Found/Inspection Performed,-97.74471176,30.2909887
2021 027545-CC,Restaurant,Over Occupancy,2/25/2021,2/26/2021,Closed/Duplicate Case,-97.75003441,30.26609919
2021 027538-CC,Restaurant,Over Occupancy,2/25/2021,2/26/2021,No Violation(s) Found/Inspection Performed,-97.75050961,30.26656167
2021 027515-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/25/2021,2/26/2021,No Violation(s) Found/Inspection Performed,-88.448709,24.923983
2021 027513-CC,Other (Describe in Comments),Face Covering,2/25/2021,2/25/2021,No Violation(s) Found/Inspection Performed,-97.72770596,30.24163766
2021 027311-CC,Other (Describe in Comments),Face Covering Non-Compliance - Business,2/25/2021,2/26/2021,No Violation(s) Found/Inspection Performed,-97.64780387,30.38722076
2021 027171-CC,Apartment Common Area,Face Covering Non-Compliance - Business,2/25/2021,2/25/2021,No Violation(s) Found/Inspection Performed,-97.84521921,30.24790774
2021 026862-CC,Restaurant,Social Distancing,2/25/2021,2/25/2021,No Violation(s) Found/Inspection Performed,-97.8057176,30.20318478
2021 026755-CC,Schools,Face Covering Non-Compliance - Business,2/25/2021,2/25/2021,No Violation(s) Found/Inspection Performed,-97.80090915,30.14905226
2021 026678-CC,Other (Describe in Comments),Social Distancing,2/24/2021,2/24/2021,Referred to Appropriate Agency,-97.78100641,30.203968
